Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Yamphram P., Sutthimat P., Rakwongwan U.","58112117200;57205115224;57204047088;","Pricing and Hedging Index Options under Mean-Variance Criteria in Incomplete Markets",2023,"Computation","11","2","30","","",,,"10.3390/computation11020030","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85148614175&doi=10.3390%2fcomputation11020030&partnerID=40&md5=f4c854bdcb0f7a1974fd49cf1d5d2863","Department of Mathematics, Faculty of Science, Kasetsart University, Bangkok, 10900, Thailand","Yamphram, P., Department of Mathematics, Faculty of Science, Kasetsart University, Bangkok, 10900, Thailand; Sutthimat, P., Department of Mathematics, Faculty of Science, Kasetsart University, Bangkok, 10900, Thailand; Rakwongwan, U., Department of Mathematics, Faculty of Science, Kasetsart University, Bangkok, 10900, Thailand","This paper studies the portfolio selection problem where tradable assets are a bank account, and standard put and call options are written on the S&P 500 index in incomplete markets in which there exist bid–ask spreads and finite liquidity. The problem is mathematically formulated as an optimization problem where the variance of the portfolio is perceived as a risk. The task is to find the portfolio which has a satisfactory return but has the minimum variance. The underlying is modeled by a variance gamma process which can explain the extreme price movement of the asset. We also study how the optimized portfolio changes subject to a user’s views of the future asset price. Moreover, the optimization model is extended for asset pricing and hedging. To illustrate the technique, we compute indifference prices for buying and selling six options namely a European call option, a quadratic option, a sine option, a butterfly spread option, a digital option, and a log option, and propose the hedging portfolios, which are the portfolios one needs to hold to minimize risk from selling or buying such options, for all the options. The sensitivity of the price from modeling parameters is also investigated. Our hedging strategies are decent with the symmetry property of the kernel density estimation of the portfolio payout. The payouts of the hedging portfolios are very close to those of the bought or sold options. The results shown in this study are just illustrations of the techniques. The approach can also be used for other derivatives products with known payoffs in other financial markets. © 2023 by the authors.","exotic option; indifference pricing; mean-variance utility; S&P 500; variance gamma",,"Rakwongwan, U.; Department of Mathematics, Thailand; email: udomsak.ra@ku.th",,"MDPI",20793197,,,,"English","Computation",Article,"Final","",Scopus,2-s2.0-85148614175
"Liao Y.-H., Lee H., Chen C.-J.","36625892800;55276340300;57204852989;","The informational role of audit partner industry specialization",2023,"Review of Quantitative Finance and Accounting","60","1",,"69","109",,,"10.1007/s11156-022-01090-8","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85136468886&doi=10.1007%2fs11156-022-01090-8&partnerID=40&md5=660179a1ff1cf7466836b7e0abefccdf","Department of Accounting, Chung Yuan Christian University, Taoyuan City, Taiwan; Department of Accounting, Hong Kong Shue Yan University, Hong Kong; Department of Accounting, National Pingtung University, Pingtung City, Taiwan","Liao, Y.-H., Department of Accounting, Chung Yuan Christian University, Taoyuan City, Taiwan; Lee, H., Department of Accounting, Hong Kong Shue Yan University, Hong Kong; Chen, C.-J., Department of Accounting, National Pingtung University, Pingtung City, Taiwan","This paper examines the effect of auditor industry specialization on the association between information asymmetry and accounting information quality. Using data from Taiwan whose audit reports are required to be signed by audit partners and controlling for the endogenous auditor choice, the results show that the audit partner industry specialization moderates the positive relation between discretionary accruals and measures of information asymmetry (i.e., bid-ask spread and analyst forecast dispersion). Moreover, this positive relation is stronger for firms whose audit partners are industry specialists than for firms whose audit firms are industry specialists. Further analysis shows that the first audit partner’s expertise itself matters more for the association between earnings quality and information asymmetry, in comparison with the expertise of audit firm alone. The results are robust to alternative estimation method and models, and alternative measures of information asymmetry, earnings quality, and industry specialists. Overall, the evidence is consistent with the audit partner’s industry specialization reducing information asymmetry via its impact on higher earnings quality. Our analyses provide policy implications in the dual-partner signature rule implemented in Taiwan. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Accrual quality; Analysts’ earnings forecast; Bid-ask spread; Industry specialization",,"Lee, H.; Department of Accounting, Hong Kong; email: ahlee@hksyu.edu",,"Springer",0924865X,,,,"English","Rev. Quant. Financ. Account.",Article,"Final","",Scopus,2-s2.0-85136468886
"Zhao W., Gao Y., Wang M.","56875027300;57197868927;57229620900;","Measuring liquidity with return volatility: An analytical approach based on heavy-tailed Censored-GARCH model",2022,"North American Journal of Economics and Finance","62",,"101774","","",,,"10.1016/j.najef.2022.101774","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85135710791&doi=10.1016%2fj.najef.2022.101774&partnerID=40&md5=62b244c2373fff5305406b33e1c44abe","School of Statistics, Capital University of Economics and Business, Beijing, China; School of Economics and Management, Beijing University of Technology, Beijing, China; Guanghua School of Management, Peking University, Beijing, China","Zhao, W., School of Statistics, Capital University of Economics and Business, Beijing, China; Gao, Y., School of Economics and Management, Beijing University of Technology, Beijing, China; Wang, M., Guanghua School of Management, Peking University, Beijing, China","The measurement of liquidity based on low-frequency data is a crucial issue in the financial market microstructure literature. This paper extends the commonly used LOT liquidity model by incorporating the characterization of the volatility dynamics and distributional properties of return series, thereby significantly improving both the goodness-of-fit of liquidity model and the estimation performance of the existing low-frequency liquidity measures. The new models, which have a special form of heavy-tailed Censored-GARCH model, have challenges in estimation. We then provide an approximate maximum likelihood estimation method to circumvent this problem. A real data analysis is conducted to evaluate the performance of the new liquidity measures. The results show overwhelming evidence that our new measures have advantages over the existing measures in both estimation error and correlation coefficient with high-frequency bid-ask spread. The robustness check analysis further illustrates that the advantages of our new measures are stable across different stock industries and different turnover levels. © 2022 Elsevier Inc.","GARCH Model; Liquidity; LOT Model; t-Distribution",,"Gao, Y.; Economics and Management Building, Chaoyang District, China; email: gaoyang@bjut.edu.cn",,"Elsevier Inc.",10629408,,,,"English","North Am. J. Econ. Financ.",Article,"Final","",Scopus,2-s2.0-85135710791
"Chen B.","57269259400;","Do investors value audit quality of complex estimates?",2022,"Advances in Accounting","57",,"100595","","",,,"10.1016/j.adiac.2022.100595","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85125726159&doi=10.1016%2fj.adiac.2022.100595&partnerID=40&md5=ef253900da0274b086a0695dbc185e63","Sawyer Business School Suffolk University, Boston, MA  02108, United States","Chen, B., Sawyer Business School Suffolk University, Boston, MA  02108, United States","In recent years, Public Company Accounting Oversight Board (PCAOB) inspections have repeatedly reported audit deficiencies related to complex fair value measurements. Motivated by the PCAOB's concern, this paper investigates whether audit quality of fair value measurements has information value to investors. Using a sample of U.S. public banks during 2008–2019, I find a significantly positive (negative) association between stock prices (bid-ask spreads) and the perceived audit quality of fair value estimates. This finding is consistent with investors valuing audit quality as it enhances the reliability of—and reduces the uncertainty associated with—complex estimates. Furthermore, using the fair value hierarchy mandated by SFAS 157, Fair Value Measurement, I find the incremental valuation effect of the perceived audit quality is greater for the substantial estimation uncertainties and potential management bias inherent in Level 3 fair value assets. In addition, I find some evidence that an auditor's banking industry expertise plays a more significant role than Big 4 status in investors' perceptions of audit quality with respect to FVM. Additional cross-sectional results reveal that the documented effect is greater for banks with declining capital adequacy and for smaller banks. Collectively, my findings suggest that perceived audit quality is important to investors in assessing the informativeness of complex fair value measurements. © 2022 Elsevier Ltd","ASC 820; Audit quality; Fair value measurements; SFAS 157",,,,"Emerald Group Holdings Ltd.",08826110,,,,"English","Adv. Account.",Article,"Final","",Scopus,2-s2.0-85125726159
"Pan A., Misra A.K.","57214111533;56373642600;","Assessment of Asymmetric Information Cost in Indian Stock Market: A Sectoral Approach",2022,"Global Business Review","23","2",,"512","535",,2,"10.1177/0972150919865085","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85078277418&doi=10.1177%2f0972150919865085&partnerID=40&md5=645680d5cf75a7656a29e9da902f3057","Institute of Management Technology, Ghaziabad, India; Vinod Gupta School of Management, Indian Institute of Technology Kharagpur, Kharagpur, India","Pan, A., Institute of Management Technology, Ghaziabad, India; Misra, A.K., Vinod Gupta School of Management, Indian Institute of Technology Kharagpur, Kharagpur, India","Bid-ask spread, along with profit, also encompass the impact of asymmetric information cost and order processing cost. Asymmetric information influences stock prices with varying degree of investors’ perception. Estimation of asymmetric information cost and its determinants have been explored significantly under low-frequency trading. The literature hardly attempts to study asymmetric information cost under high-frequency trading (HFT). Asymmetric information cost significantly influences bid-ask spread, and hence the nature of its impact under different market conditions needs to be analyzed under HFT. The study attempts to estimate asymmetric information cost in HFT and analyze its determinants under different industry sectors and market conditions. The study followed Affleck-Graves et al. (1994, The Journal of Finance, 49(4), 1471–1488) model to estimate the asymmetric information cost using 5 minutes interval data for a period of 82 trading days. Information gets reflected in equity through the movement in price, variation in trading volume, and return volatility. The study has found share price, traded volume, return volatility and trading frequency as the major determinants of asymmetric information cost in different market conditions. The findings of the study have significant implications for market microstructure for trading, lowering information asymmetry in market and enhancing market quality. © 2020 International Management Institute, New Delhi.","asymmetric information cost; bid-ask spread; High frequency trading; Indian market",,"Pan, A.; Institute of Management Technology, Ghaziabad, India; email: aritra.pan360@gmail.com",,"Sage Publications India Pvt. Ltd",09721509,,,,"English","Global Bus. Rev.",Article,"Final","",Scopus,2-s2.0-85078277418
"Almulhim A.A.","58002953100;","BOARD STRUCTURE and STOCK MARKET LIQUIDITY: EVIDENCE from SAUDI'S BANKING INDUSTRY",2022,"Asian Economic and Financial Review","12","11",,"950","968",,,"10.55493/5002.v12i11.4644","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85143881489&doi=10.55493%2f5002.v12i11.4644&partnerID=40&md5=49ec978af99879c5de49c78535e66c8a","Finance Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia","Almulhim, A.A., Finance Department, Business School, King Faisal University, Al-Ahsa, 31982, Saudi Arabia","This paper aims to explore the impact of corporate governance on banks’ stock market liquidity. Specifically, we examine the influence of one of the most important corporate governance mechanisms, board structure, on the stock market liquidity of listed banks in Saudi Arabia. We mainly concentrate on four characteristics of board structure: board size, board independence, board meetings and board busyness, and their impact on bid–ask spread, trading volume, turnover ratio and number of trades (employed as proxies of stock liquidity). This study employs a pooled ordinary least squares (OLS) model to investigate this relationship. Furthermore, we use a lag approach and the generalized method of moments (GMM) estimation to test for endogeneity issues. The findings of the two models are the same as the main estimation model of the OLS. Using a sample of 108 observations representing all banks listed on the Saudi Stock Market (TASI) from 2010 to 2020, we find a positive and significant association between board size and board independence with stock liquidity. However, board busyness is negatively associated with stock liquidity. Furthermore, we examine the relationship between board structure and agency problems. The results show that board size and board independence reduce agency problems, whereas board busyness increases agency problems. The findings of this paper provide implications for Saudi regulators, banks’ board of directors and banks’ shareholders. © 2022 AESS Publications. All Rights Reserved.","Board busyness; Board characteristics; Board independence; Board meetings; Board size; Corporate governance; Stock market liquidity",,"Almulhim, A.A.; Finance Department, Saudi Arabia; email: abmulhem@kfu.edu.sa",,"Asian Economic and Social Society",23052147,,,,"English","Asian Eco. Financ. Rev.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85143881489
"Guo X., Lehalle C.-A., Xu R.","34769583600;36170719800;57207690394;","Transaction cost analytics for corporate bonds",2022,"Quantitative Finance","22","7",,"1295","1319",,,"10.1080/14697688.2022.2054723","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85129154521&doi=10.1080%2f14697688.2022.2054723&partnerID=40&md5=c3879f1163f78e158fd6f617a8d6e99d","Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States; Abu Dhabi Investment Authority (ADIA), Abu Dhabi, United Arab Emirates; Imperial College London, London, United Kingdom; Epstein Department of Industrial and Systems Engineering, University of Southern California, Los Angeles, CA, United States; Mathematical Institute, University of Oxford, Oxford, United Kingdom","Guo, X., Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States; Lehalle, C.-A., Abu Dhabi Investment Authority (ADIA), Abu Dhabi, United Arab Emirates, Imperial College London, London, United Kingdom; Xu, R., Epstein Department of Industrial and Systems Engineering, University of Southern California, Los Angeles, CA, United States, Mathematical Institute, University of Oxford, Oxford, United Kingdom","Electronic platforms have been increasingly popular for executing large corporate bond orders by asset managers, who in turn have to assess the quality of their executions via Transaction Cost Analysis (TCA). One of the challenges in TCA is to build a realistic benchmark for the expected transaction cost and to characterize the price impact of each individual trade with given bond characteristics and market conditions. Taking the viewpoint of retail investors, this paper presents an analytical methodology for TCA of corporate bond trading. Our analysis is based on the TRACE Enhanced dataset; and starts with estimating the initiator of a bond transaction, followed by estimating the bid-ask spread and the mid-price dynamics. With these estimations, the first part of our study is to identify key features for corporate bonds and to compute the expected average trading cost. This part is on the time scale of weekly transactions, and is by applying and comparing several regularized regression models. The second part of our study is using the estimated mid-price dynamics to investigate the amplitude of its price impact and the decay pattern of individual bond transaction. This part is on the time scale of each transaction of liquid corporate bonds, and is by applying a transient impact model to estimate the price impact kernel using a non-parametric method. Our benchmark model allows for identifying abnormal transactions and for enhancing counter-party selections. A key discovery of our study is the price impact asymmetry between customer-buy orders and consumer-sell orders. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Bond liquidity; Data-driven decision making; Enhanced TRACE; Price impact; Regression analysis; Regularization method; Transaction costs analysis",,"Xu, R.; Epstein Department of Industrial and Systems Engineering, United States; email: renyuanx@usc.edu",,"Routledge",14697688,,,,"English","Quant. Financ.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85129154521
"Gao Y., Zhao W., Wang M.","57197868927;56875027300;57229620900;","The Comparison Study of Liquidity Measurements on the Chinese Stock Markets",2022,"Emerging Markets Finance and Trade","58","2",,"483","511",,4,"10.1080/1540496X.2019.1709819","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85122110988&doi=10.1080%2f1540496X.2019.1709819&partnerID=40&md5=f5ad09d0135ca38f0259d06763c960c8","School of Economics and Management, Beijing University of Technology, Beijing, China; School of Statistics, Capital University of Economics and Business, Beijing, China; Guanghua School of Management, Peking University, Beijing, China","Gao, Y., School of Economics and Management, Beijing University of Technology, Beijing, China; Zhao, W., School of Statistics, Capital University of Economics and Business, Beijing, China; Wang, M., Guanghua School of Management, Peking University, Beijing, China","The measurement of liquidity is the basis of research in market microstructure studies. Based on the intraday tick trading data on Chinese stock markets from 2009 to 2016, we run horseraces of monthly estimates of newly and widely employed low-frequency liquidity proxies in the literature against three types of bid-ask spread high-frequency benchmarks. The empirical results reveal that the closing percent quoted spread estimator has the smallest estimation error, and the FHT estimator has the highest correlation. Moreover, these two estimators win the majority of horseraces in terms of estimation error and correlation comparison with the high-frequency benchmarks. Meanwhile, we find that most liquidity estimators based on Roll’s model do not perform well. Because the performance metrics of estimation precision or correlation performance on related liquidity issues differ depending on the type of research, our study offers appropriate liquidity measures for different research purposes. © 2020 Taylor & Francis Group, LLC.","Bid-ask spread; correlation; estimation error; G11; G12; G14; liquidity measures",,"Zhao, W.; School of Statistics, Shensi Building, Fengtai District, China; email: zhaowandi@cueb.edu.cn",,"Routledge",1540496X,,,,"English","Emerg. Mark. Financ. Trade",Article,"Final","",Scopus,2-s2.0-85122110988
"Morariu-Patrichi M., Pakkanen M.S.","57203268995;36083091900;","State-dependent Hawkes processes and their application to limit order book modelling",2022,"Quantitative Finance","22","3",,"563","583",,3,"10.1080/14697688.2021.1983199","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85121339633&doi=10.1080%2f14697688.2021.1983199&partnerID=40&md5=ab4da8905220b45c21e4e048a252c902","Department of Mathematics, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; CREATES, Aarhus University, Aarhus, Denmark","Morariu-Patrichi, M., Department of Mathematics, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Pakkanen, M.S., Department of Mathematics, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom, CREATES, Aarhus University, Aarhus, Denmark","We study statistical aspects of state-dependent Hawkes processes, which are an extension of Hawkes processes where a self- and cross-exciting counting process and a state process are fully coupled, interacting with each other. The excitation kernel of the counting process depends on the state process that, reciprocally, switches state when there is an event in the counting process. We first establish the existence and uniqueness of state-dependent Hawkes processes and explain how they can be simulated. Then we develop maximum likelihood estimation methodology for parametric specifications of the process. We apply state-dependent Hawkes processes to high-frequency limit order book data, allowing us to build a novel model that captures the feedback loop between the order flow and the shape of the limit order book. We estimate two specifications of the model, using the bid–ask spread and the queue imbalance as state variables, and find that excitation effects in the order flow are strongly state-dependent. Additionally, we find that the endogeneity of the order flow, measured by the magnitude of excitation, is also state-dependent, being more pronounced in disequilibrium states of the limit order book. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Endogeneity; Hawkes process; High-frequency financial data; Limit order book; Market microstructure; Maximum likelihood estimation",,"Pakkanen, M.S.; Department of Mathematics, South Kensington Campus, United Kingdom; email: m.pakkanen@imperial.ac.uk",,"Routledge",14697688,,,,"English","Quant. Financ.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85121339633
"Hagströmer B.","24586928700;","Bias in the effective bid-ask spread",2021,"Journal of Financial Economics","142","1",,"314","337",,5,"10.1016/j.jfineco.2021.04.018","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85105302193&doi=10.1016%2fj.jfineco.2021.04.018&partnerID=40&md5=12b582f6227de26b6be9b46366d5745e","Stockholm Business School, Stockholm University, Stockholm, SE-10691, Sweden","Hagströmer, B., Stockholm Business School, Stockholm University, Stockholm, SE-10691, Sweden, ","The effective bid-ask spread measured relative to the spread midpoint overstates the true effective bid-ask spread in markets with discrete prices and elastic liquidity demand. The average bias is 13%–18% for S&P 500 stocks in general, depending on the estimator used as benchmark, and up to 97% for low-priced stocks. Cross-sectional bias variation across stocks, trading venues, and investor groups can influence research inference. The use of the midpoint also undermines liquidity timing and trading performance evaluations, and can lead non-sophisticated investors to overpay for liquidity. To overcome these problems, the paper proposes new estimators of the effective bid-ask spread. © 2021","Illiquidity; Liquidity demand elasticity; Micro-price; Midpoint; Rule 605",,,,"Elsevier B.V.",0304405X,,JFECD,,"English","J. Financ. Econ.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85105302193
